Acid Splash~PHB~0~C~hurl bubble acid choose one creature see within range choose two creature see within range within 5 foot target must succeed dexterity save throw take damage acid damage~{'dice': ['1d6'], 'damage': ['1d6', '2d6', '3d6', '4d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Aid~PHB~2~A~spell bolster ally toughness resolve choose three creature within range target hit point maximum current hit point increase 5 duration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Cure Wounds~PHB~1~V~creature touch regain number hit point equal dice spellcasting ability modifier spell effect undead construct~{'dice': ['1d8'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Dancing Lights~PHB~0~V~create four torchsized light within range make appear torch lanterns glow orbs hover air duration also combine four light one glow vaguely humanoid form medium size whichever form choose light shed dim light 10foot radius bonus action turn move light 60 foot new spot within range light must within 20 foot another light create spell light wink exceed spell range~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Darkness~PHB~2~V~magical darkness spread point choose within range fill 15footradius sphere duration darkness spread around corner creature sense darkvision cant see darkness nonmagical light cant illuminate point choose object hold one isnt worn carry darkness emanates object move completely cover source darkness opaque object bowl helm block darkness spell area overlap area light create spell 2nd level low spell create light dispel~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Darkvision~PHB~2~T~touch willing creature grant ability see dark duration creature sense darkvision range 60 foot~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Daylight~PHB~3~V~60footradius sphere light spread point choose within range sphere bright light shed dim light additional 60 foot chose point object hold one isnt worn carry light shine object move completely cover affect object opaque object bowl helm block light spell area overlap area darkness create spell 3rd level low spell create darkness dispel~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Death Ward~PHB~4~A~touch creature grant measure protection death first time target would drop 0 hit point result take damage target instead drop 1 hit point spell end spell still effect target subject effect would kill instantaneously without deal damage effect instead negate target spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Delayed Blast Fireball~PHB~7~V~beam yellow light flash point finger condenses linger choose point within range glow bead duration spell end either status concentration break decide end bead blossom low roar explosion flame spread around corner creature 20footradius sphere center point must make dexterity save throw creature take fire damage equal total accumulate damage fail save half much damage successful one spell base damage damage end turn bead yet detonate damage increase dice glow bead touch interval expired creature touch must make dexterity save throw fail save spell end immediately cause bead erupt flame successful save creature throw bead 40 foot strikes creature solid object spell end bead explodes fire damage object area ignite flammable object arent worn carry~{'dice': ['1d6'], 'damage': ['12d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Demiplane~PHB~8~C~create shadowy door flat solid surface see within range door large enough allow medium creature pass unhindered open door lead demiplane appear empty room 30 foot dimension make wood stone spell end door disappears creatures object inside demiplane remain trapped door also disappear side time cast spell create new demiplane shadowy door connect demiplane create previous cast spell additionally know nature content demiplane create cast spell another creature shadowy door connect demiplane instead~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Destructive Wave~PHB~5~V~strike ground create burst divine energy ripple outward creature choose within 30 foot must succeed constitution save throw take damage thunder damage well damage radiant necrotic damage choice knock condition prone creature succeed save throw take half much damage isnt knock condition prone~{'dice': 'None', 'damage': ['5d6', '5d6'], 'saving_throw_types': 'its', 'conditions': 'prone'}
Detect Evil and Good~PHB~1~D~duration know aberration celestial elemental fey fiend undead within 30 foot well creature locate similarly know place object within 30 foot magically consecrate desecrate spell penetrate barrier block 1 foot stone 1 inch common metal thin sheet lead 3 foot wood dirt~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Detect Magic~PHB~1~D~duration sense presence magic within 30 foot sense magic way use action see faint aura around visible creature object area bear magic learn book school magicphb10the school magic spell penetrate barrier block 1 foot stone 1 inch common metal thin sheet lead 3 foot wood dirt~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Detect Poison and Disease~PHB~1~D~duration sense presence location poison poisonous creature disease within 30 foot also identify kind poison poisonous creature disease case spell penetrate barrier block 1 foot stone 1 inch common metal thin sheet lead 3 foot wood dirt~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Detect Thoughts~PHB~2~D~duration read thought certain creature cast spell action turn spell end focus mind one creature see within 30 foot creature choose intelligence 3 low doesnt speak language creature unaffected initially learn surface thought creaturewhat mind moment action either shift attention another creature thoughts attempt probe deeper creature mind probe deeper target must make wisdom save throw fail gain insight reason emotional state something loom large mind something worry love hate succeed spell end either way target know probe mind unless shift attention another creature thoughts creature use action turn make intelligence check contest intelligence check succeed spell end question verbally direct target creature naturally shape course thought spell particularly effective part interrogation also use spell detect presence thinking creature cant see cast spell action duration search thought within 30 foot spell penetrate barrier 2 foot rock 2 inch metal lead thin sheet lead block cant detect creature intelligence 3 low one doesnt speak language detect presence creature way read thought rest duration describe even cant see must still within range~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Dimension Door~PHB~4~C~teleport current location spot within range arrive exactly spot desired place see one visualize one describe state distance direction 200 foot straight downward upward northwest 45degree angle 300 foot bring along object long weight doesnt exceed carry also bring one willing creature size small carry gear carry capacity creature must within 5 foot cast spell would arrive place already occupy object creature creature travel take damage force damage spell fail teleport~{'dice': 'None', 'damage': ['4d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Disguise Self~PHB~1~I~make yourselfincluding clothe armor weapon belonging personlook different spell end use action dismiss seem 1 foot short taller appear thin fat cant change body type must adopt form basic arrangement limb otherwise extent illusion change work spell fail hold physical inspection example use spell add hat outfit object pass hat anyone touch would feel nothing would feel head hair use spell appear thinner hand someone reach touch would bump seemingly still midair discern disguise creature use action inspect appearance must succeed intelligence skill investigation check spell save dc~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Disintegrate~PHB~6~T~thin green ray spring point finger target see within range target creature object creation magical force wall create spell wall force creature target spell must make dexterity save throw fail save target take damage force damage target disintegrate damage leave 0 hit point disintegrated creature everything wear carry except magic item reduce pile fine gray dust creature restore life mean spell true resurrection spell wish spell spell automatically disintegrate large small nonmagical object creation magical force target huge large object creation force spell disintegrate 10footcube portion magic item unaffected spell~{'dice': 'None', 'damage': ['10d6 + 40'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Dispel Evil and Good~PHB~5~A~shimmer energy surround protect fey undead creature originate beyond material plane duration celestials elementals fey fiend undead disadvantage attack roll end spell early use either follow special function action touch creature reach condition charm condition charm possessed celestial elemental fey fiend undead creature touch long condition charm condition charm possessed creature action make melee spell attack celestial elemental fey fiend undead reach hit attempt drive creature back home plane creature must succeed charisma save throw send back home plane isnt already arent home plane undead sent shadowfell fey send feywild~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Charisma', 'conditions': 'charmed'}
Dispel Magic~PHB~3~A~choose one creature object magical effect within range spell 3rd level low target end spell 4th level high target make ability check use spellcasting ability dc equal 10 spell level successful check spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Dissonant Whispers~PHB~1~E~whisper discordant melody one creature choice within range hear wrack terrible pain target must make wisdom save throw fail save take damage psychic damage must immediately use reaction available move far speed allow away creature doesnt move obviously dangerous ground fire pit successful save target take half much damage doesnt move away condition deafened creature automatically succeed save~{'dice': 'None', 'damage': ['3d6'], 'saving_throw_types': 'Wisdom', 'conditions': 'deafened'}
Divination~PHB~4~D~magic offering put contact god god servant ask single question concern specific goal event activity occur within 7 day dm offer truthful reply reply might short phrase cryptic rhyme omen spell doesnt take account possible circumstance might change outcome cast additional spell loss gain companion cast spell two time finish next long rest cumulative chance 25random readingregular read chance cast first get random reading dm make roll secret~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Divine Favor~PHB~1~V~prayer empowers divine radiance spell end weapon attack deal extra damage radiant damage hit~{'dice': 'None', 'damage': ['1d4'], 'saving_throw_types': 'None', 'conditions': 'None'}
Divine Word~PHB~7~V~utter divine word imbue power shape world dawn creation choose number creature see within range creature hear must make charisma save throw fail save creature suffers effect base current hit point 50 hit point few condition deafen 1 minute 40 hit point few condition deafen condition deafen 10 minute 30 hit point few condition deafen condition deafen condition deafen 1 hour 20 hit point few kill instantly regardless current hit point celestial elemental fey fiend fail save force back plane origin isnt already cant return current plane 24 hour mean short spell wish spell~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Charisma', 'conditions': 'deafened'}
Dominate Beast~PHB~4~E~attempt beguile beast see within range must succeed wisdom save throw condition charm duration creature friendly fighting advantage save throw beast condition charm telepathic link long two plane existence use telepathic link issue command creature conscious action require best obey specify simple general course action attack creature run fetch object creature complete order doesnt receive direction defend preserve best ability use action take total precise control target end next turn creature take action choose doesnt anything dont allow time also cause creature use reaction require use reaction well time target take damage make new wisdom save throw spell save throw succeed spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'charmed'}
Dominate Monster~PHB~8~E~attempt beguile creature see within range must succeed wisdom save throw condition charm duration creature friendly fighting advantage save throw creature condition charm telepathic link long two plane existence use telepathic link issue command creature conscious action require best obey specify simple general course action attack creature run fetch object creature complete order doesnt receive direction defend preserve best ability use action take total precise control target end next turn creature take action choose doesnt anything dont allow time also cause creature use reaction require use reaction well time target take damage make new wisdom save throw spell save throw succeed spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'charmed'}
Dominate Person~PHB~5~E~attempt beguile humanoid see within range must succeed wisdom save throw condition charm duration creature friendly fighting advantage save throw target condition charm telepathic link long two plane existence use telepathic link issue command creature conscious action require best obey specify simple general course action attack creature run fetch object creature complete order doesnt receive direction defend preserve best ability use action take total precise control target end next turn creature take action choose doesnt anything dont allow time also cause creature use reaction require use reaction well time target take damage make new wisdom save throw spell save throw succeed spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'charmed'}
Drawmij's Instant Summons~PHB~6~C~touch object weigh 10 pound less whose long dimension 6 foot less spell leave invisible mark surface invisibly inscribes name item sapphire use material component time cast spell must use different sapphire time thereafter use action speak item name crush sapphire item instantly appear hand regardless physical planar distance spell end another creature hold carry item crush sapphire doesnt transport item instead learn creature possess object roughly creature locate moment spell dispel magic similar effect successfully apply sapphire end spell effect~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Dream~PHB~5~I~spell shape creature dream choose creature know target spell target must plane existence creature dont sleep elf cant contact spell willing creature touch enters trance state act messenger trance messenger aware surroundings cant take action move target asleep messenger appear target dreams converse target long remain asleep duration spell messenger also shape environment dream create landscape object image messenger emerge trance time end effect spell early target recall dream perfectly upon wake target awake cast spell messenger know either end trance spell wait target fall asleep point messenger appear target dream make messenger appear monstrous terrify target messenger deliver message ten word target must make wisdom save throw fail save echo phantasmal monstrosity spawn nightmare last duration target sleep prevents target gain benefit rest addition target wake take damage psychic damage body part lock hair clip nail similar portion target body target make save throw disadvantage~{'dice': 'None', 'damage': ['3d6'], 'saving_throw_types': 'its', 'conditions': 'None'}
Druidcraft~PHB~0~T~whisper spirit nature create one follow effect within range create tiny harmless sensory effect predict weather location next 24 hour effect might manifest golden orb clear sky cloud rain fall snowflake snow effect persist 1 round instantly make flower blossom seed pod open leaf bud bloom create instantaneous harmless sensory effect fall leaf puff wind sound small animal faint odor skunk effect must fit 5foot cube instantly light snuff candle torch small campfire~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Earthquake~PHB~8~V~create seismic disturbance point ground see within range duration intense tremor rip grind 100footradius circle center point shake creature structure contact ground area ground area become quickref difficult terrain3 creature ground status concentrationconcentrating must make constitution save throw fail save creature status concentration break cast spell end turn spend status concentrationconcentrating creature ground area must make dexterity save throw fail save creature knock condition prone spell additional effect depend terrain area determine dm fissure open throughout spell area start next turn cast spell total dice fissure open location choose dm dice foot deep 10 foot wide extend one edge spell area opposite side creature stand spot fissure open must succeed dexterity save throw fall creature successfully save move fissure edge open fissure open beneath structure cause automatically collapse see tremor deal 50 bludgeoning damage structure contact ground area cast spell start turn spell end structure drop 0 hit point collapse potentially damage nearby creatures creature within half distance structure height must make dexterity save throw fail save creature take damage bludgeon damage knock condition prone bury rubble require dc 20 strength skill athletics check action escape dm adjust dc high low depend nature rubble successful save creature take half much damage doesnt fall condition prone become bury~{'dice': ['1d6', '1d10 * 10'], 'damage': ['5d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'prone'}
Eldritch Blast~PHB~0~V~beam crackle energy streak toward creature within range make range spell attack target hit target take damage force damage spell create one beam reach high level two beam 5th level three beam 11th level four beam 17th level direct beam target different one make separate attack roll beam~{'dice': 'None', 'damage': ['1d10'], 'saving_throw_types': 'None', 'conditions': 'None'}
Elemental Weapon~PHB~3~T~nonmagical weapon touch become magic weapon choose one follow damage type acid cold fire lightning thunder duration weapon 1 bonus attack roll deal extra damage damage choose type hit~{'dice': 'None', 'damage': ['1d4'], 'saving_throw_types': 'None', 'conditions': 'None'}
Enhance Ability~PHB~2~T~touch creature bestow upon magical enhancement choose one follow effect target gain effect spell end target advantage constitution check also gain dice temporary hit point lose spell end target advantage strength check carry capacity double target advantage dexterity check also doesnt take damage fall 20 foot less isnt condition incapacitate target advantage charisma check target advantage intelligence check target advantage wisdom check~{'dice': ['2d6'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'incapacitated'}
Enlarge/Reduce~PHB~2~T~cause creature object see within range grow large small duration choose either creature object neither worn carry target unwilling make constitution save throw success spell effect target creature everything wear carry change size item drop affected creature return normal size target size double dimension weight multiplied eight growth increase size one categoryfrom medium large example isnt enough room target double size creature object attain maximum possible size space available spell end target also advantage strength check strength save throw target weapon also grow match new size weapon enlarge target attack deal damage extra damage target size halve dimension weight reduce oneeighth normal reduction decrease size one categoryfrom medium small example spell end target also disadvantage strength check strength save throw target weapon also shrink match new size weapon reduce target attack deal damage less damage cant reduce damage 1~{'dice': 'None', 'damage': ['1d4', '1d4'], 'saving_throw_types': 'Strength', 'conditions': 'None'}
Ensnaring Strike~PHB~1~C~next time hit creature weapon attack spell end writhe mass thorny vine appear point impact target must succeed strength save throw condition restrain magical vine spell end large large creature advantage save throw target succeed save vine shrivel away condition restrain spell target take damage pierce damage start turn creature condition restrain vine one touch creature use action make strength check spell save dc success target free~{'dice': 'None', 'damage': ['1d6'], 'saving_throw_types': 'this', 'conditions': 'restrained'}
Entangle~PHB~1~C~grasp weed vine sprout ground 20foot square start point within range duration plant turn ground area quickref difficult terrain3 creature area cast spell must succeed strength save throw condition restrain entangle plant spell end creature condition restrain plant use action make strength check spell save dc success free spell end conjure plant wilt away~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Strength', 'conditions': 'restrained'}
Enthrall~PHB~2~E~weave distract string word cause creature choice see within range hear make wisdom save throw creature cant condition charm succeed save throw automatically companion fight creature advantage save fail save target disadvantage wisdom skill perception check make perceive creature spell end target longer hear spell end condition charm long speak~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'this', 'conditions': 'charmed'}
Etherealness~PHB~7~T~step border region ethereal plane area overlap current plane remain border ethereal duration use action dismiss spell time move direction move every foot movement cost extra foot see hear plane originate everything look gray cant see anything 60 foot away ethereal plane affect affect creature plane creature arent ethereal plane cant perceive cant interact unless special ability magic give ability ignore object effect arent ethereal plane allow move object perceive plane originate spell end immediately return plane originate spot currently occupy occupy spot solid object creature happen immediately shunt near unoccupied space occupy take force damage equal twice number foot move spell effect cast ethereal plane plane doesnt border one outer plane~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Evard's Black Tentacles~PHB~4~C~squirm ebony tentacle fill 20foot square ground see within range duration tentacle turn ground area quickref difficult terrain3 creature enters affect area first time turn start turn creature must succeed dexterity save throw take damage bludgeoning damage condition restrain tentacle spell end creature start turn area already condition restrain tentacle take damage bludgeon damage creature condition restrain tentacle use action make strength dexterity check choice spell save dc success free~{'dice': 'None', 'damage': ['3d6', '3d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'restrained'}
Expeditious Retreat~PHB~1~T~spell allow move incredible pace cast spell bonus action turn spell end take action dash action~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Eyebite~PHB~6~N~spell duration eye become inky void imbue dread power one creature choice within 60 foot see must succeed wisdom save throw affect one follow effect choice duration turn spell end use action target another creature cant target creature succeed save throw cast eyebite target fall condition unconscious wake take damage another creature use action shake sleeper awake target condition unconscious turn condition unconscious creature must take action dash action move away safe shortest available route unless nowhere move target move place least 60 foot away longer see effect end target disadvantage attack roll ability check end turn make another wisdom save throw succeed effect end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'unconscious'}
Fabricate~PHB~4~T~convert raw material product material example fabricate wooden bridge clump tree rope patch hemp clothes flax wool choose raw material see within range fabricate large small object contain within 10foot cube eight connect 5foot cube give sufficient quantity raw material work metal stone another mineral substance however fabricate object large medium contain within single 5foot cube quality object make spell commensurate quality raw material creature magic item cant create transmute spell also cant use create item ordinarily require high degree craftsmanship jewelry weapon glass armor unless proficiency type artisans tool use craft object~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Faerie Fire~PHB~1~V~object 20foot cube within range outline blue green violet light choice creature area spell cast also outline light fails dexterity save throw duration object affect creature shed dim light 10foot radius attack roll affect creature object advantage attacker see affected creature object cant benefit condition invisible~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Dexterity', 'conditions': 'invisible'}
False Life~PHB~1~N~bolster necromantic facsimile life gain dice temporary hit point duration~{'dice': ['1d4 + 4'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Fear~PHB~3~I~project phantasmal image creature worst fear creature 30foot cone must succeed wisdom save throw drop whatever hold become condition frighten duration condition frighten spell creature must take action dash action move away safe available route turn unless nowhere move creature end turn location doesnt line sight creature make wisdom save throw successful save spell end creature~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'frightened'}
Feather Fall~PHB~1~T~choose five fall creature within range fall creature rate descent slow 60 foot per round spell end creature land spell end take fall damage land foot spell end creature~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Feeblemind~PHB~8~E~blast mind creature see within range attempt shatter intellect personality target take damage psychic damage must make intelligence save throw fail save creature intelligence charisma score become 1 creature cant cast spell activate magic item understand language communicate intelligible way creature however identify friend follow even protect end every 30 day creature repeat save throw spell succeed save throw spell end spell also end spell great restoration spell heal spell wish~{'dice': 'None', 'damage': ['4d6'], 'saving_throw_types': 'its', 'conditions': 'None'}
Feign Death~PHB~3~N~touch willing creature put cataleptic state indistinguishable death spell duration use action touch target dismiss spell target appear dead outward inspection spell use determine target status target condition blind condition blind speed drop 0 target resistance damage except psychic damage target diseased condition blind cast spell become diseased condition blind spell effect disease poison effect spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'blinded'}
Find Familiar~PHB~1~C~gain service familiar spirit take animal form choose creature bat creature bat creature bat creature bat toad creature bat creature bat creature bat creature bat creature bat fish creature bat creature bat creature bat creature bat creature bat creature bat appear unoccupied space within range familiar statistic choose form though celestial fey fiend choice instead beast note additional filter animal form choicesbestiarymiscellaneousfamiliar may available dms discretion familiar act independently always obey command combat roll initiative act turn familiar cant attack take action normal familiar drop 0 hit point disappear leave behind physical form reappears cast spell action temporarily dismiss familiar pocket dimension alternatively dismiss forever action temporarily dismiss cause reappear unoccupied space within 30 foot whenever familiar drop 0 hit point disappear pocket dimension leave behind space anything wear carry familiar within 100 foot communicate telepathically additionally action see familiar eye hear hears start next turn gain benefit special sens familiar time condition deafeneddeaf condition blindedblind regard sens cant one familiar time cast spell already familiar instead cause adopt new form choose one form list familiar transforms choose creature finally cast spell range touch familiar deliver spell cast spell familiar must within 100 foot must use reaction deliver spell cast spell require attack roll use attack modifier roll~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Find Steed~PHB~2~C~summon spirit assume form unusually intelligent strong loyal steed create longlasting bond appear unoccupied space within range steed take form choose creature warhorse creature warhorse creature warhorse creature warhorse creature warhorse dm might allow animal summon steed steed statistic chosen form though celestial fey fiend choice instead normal type additionally steed intelligence 5 less intelligence become 6 gain ability understand one language choice speak steed serf mount combat instinctive bond allows fight seamless unit mount steed make spell cast target also target steed steed drop 0 hit point disappear leave behind physical form also dismiss steed time action cause disappear either case cast spell summons steed restore hit point maximum steed within 1 mile communicate telepathically cant one steed bond spell time action release steed bond time cause disappear~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Find the Path~PHB~6~D~spell allow find short direct physical route specific fix location familiar plane existence name destination another plane existence destination move mobile fortress destination isnt specific green dragon lair spell fails duration long plane existence destination know far direction lie travel whenever present choice path along way automatically determine path short direct route necessarily safe route destination~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Find Traps~PHB~2~D~sense presence trap within range within line sight trap purpose spell include anything would inflict sudden unexpected effect consider harmful undesirable specifically intend creator thus spell would sense area affect spell alarm spell spell glyph ward mechanical pit trap would reveal natural weakness floor unstable ceiling hidden sinkhole spell merely reveal trap present dont learn location trap learn general nature danger pose trap sense~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Finger of Death~PHB~7~N~send negative energy course creature see within range cause sear pain target must make constitution save throw take damage necrotic damage fail save half much damage successful one humanoid kill spell rise start next turn creature zombie permanently command follow verbal order best ability~{'dice': 'None', 'damage': ['7d8 + 30'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
Fire Bolt~PHB~0~V~hurl mote fire creature object within range make range spell attack target hit target take damage fire damage flammable object hit spell ignite isnt worn carry~{'dice': ['1d10'], 'damage': ['1d10', '2d10', '3d10', '4d10'], 'saving_throw_types': 'None', 'conditions': 'None'}
Fire Shield~PHB~4~V~thin wispy flame wreathe body duration shed bright light 10foot radius dim light additional 10 foot end spell early use action dismiss flame provide warm shield chill shield choose warm shield grant resistance cold damage chill shield grant resistance fire damage addition whenever creature within 5 foot hit melee attack shield erupts flame attacker take damage fire damage warm shield damage cold damage cold shield~{'dice': 'None', 'damage': ['2d8', '2d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Fire Storm~PHB~7~V~storm make sheet roar flame appear location choose within range area storm consist ten 10foot cube arrange wish cube must least one face adjacent face another cube creature area must make dexterity save throw take damage fire damage fail save half much damage successful one fire damage object area ignites flammable object arent worn carry choose plant life area unaffected spell~{'dice': 'None', 'damage': ['7d10'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Fireball~PHB~3~V~bright streak flash point finger point choose within range blossom low roar explosion flame creature 20footradius sphere center point must make dexterity save throw target take damage fire damage fail save half much damage successful one fire spread around corner ignites flammable object area arent worn carry~{'dice': 'None', 'damage': ['8d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Flame Blade~PHB~2~V~evoke fiery blade free hand blade similar size shape scimitar last duration let go blade disappears evoke blade bonus action use action make melee spell attack fiery blade hit target take damage fire damage flame blade shed bright light 10foot radius dim light additional 10 foot~{'dice': 'None', 'damage': ['3d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Flame Strike~PHB~5~V~vertical column divine fire roar heavens location specify creature 10footradius 40foothigh cylinder center point within range must make dexterity save throw creature take damage fire damage damage radiant damage fail save half much damage successful one~{'dice': 'None', 'damage': ['4d6', '4d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Flaming Sphere~PHB~2~C~5footdiameter sphere fire appear unoccupied space choice within range last duration creature end turn within 5 foot sphere must make dexterity save throw creature take damage fire damage fail save half much damage successful one bonus action move sphere 30 foot ram sphere creature creature must make save throw sphere damage sphere stop move turn move sphere direct barrier 5 foot tall jump across pit 10 foot wide sphere ignite flammable object wear carry shed bright light 20foot radius dim light additional 20 foot~{'dice': 'None', 'damage': ['2d6'], 'saving_throw_types': 'the', 'conditions': 'None'}
Flesh to Stone~PHB~6~T~attempt turn one creature see within range stone target body make flesh creature must make constitution save throw fail save condition restrain flesh begin harden successful save creature isnt affect creature condition restrain spell must make another constitution save throw end turn successfully save spell three time spell end fails save three time turn stone subject condition restrain condition duration successes failure dont need consecutive keep track target collect three kind creature physically broken condition restrain suffers similar deformity revert original state maintain status concentration spell entire possible duration creature turn stone effect remove~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Constitution', 'conditions': 'restrained'}
Fly~PHB~3~T~touch willing creature target gain fly speed 60 foot duration spell end target fall still aloft unless stop fall~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Fog Cloud~PHB~1~C~create 20footradius sphere fog center point within range sphere spread around corner area quickref vision lightphb2heavily obscure last duration wind moderate great speed least 10 mile per hour disperses~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Forbiddance~PHB~6~A~create ward magical travel protect 40000 square foot floor space height 30 foot floor duration creature cant teleport area use portal create spell gate spell enter area spell proofs area planar travel therefore prevents creature access area way astral plane ethereal plane feywild shadowfell spell plane shift spell addition spell damage type creature choose cast choose one follow celestials elementals fey fiend undead chosen creature enters spell area first time turn start turn creature take damage radiant necrotic damage choice cast spell cast spell designate password creature speak password enters area take damage spell spell area cant overlap area another forbiddance spell cast forbiddance every day 30 day location spell last dispel material component consume last casting~{'dice': 'None', 'damage': ['5d10'], 'saving_throw_types': 'None', 'conditions': 'None'}
Forcecage~PHB~7~V~immobile invisible cubeshaped prison compose magical force spring existence around area choose within range prison cage solid box choose prison shape cage 20 foot side make 12inch diameter bar space 12 inch apart prison shape box 10 foot side create solid barrier prevents matter pass block spell cast area cast spell creature completely inside cage area trap creature partially within area large fit inside area push away center area completely outside area creature inside cage cant leave nonmagical mean creature try use teleportation interplanar travel leave cage must first make charisma save throw success creature use magic exit cage failure creature cant exit cage waste use spell effect cage also extend ethereal plane block ethereal travel spell cant dispel spell dispel magic~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Charisma', 'conditions': 'None'}
Foresight~PHB~9~D~touch willing creature bestow limited ability see immediate future duration target cant quickref surprisephb30surprised advantage attack roll ability check save throw additionally creatures disadvantage attack roll target duration spell immediately end cast duration end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'and', 'conditions': 'None'}
Freedom of Movement~PHB~4~A~touch willing creature duration target movement unaffected quickref difficult terrain3 spell magical effect neither reduce target speed cause target condition paralyzed condition paralyze target also spend 5 foot movement automatically escape nonmagical restraint manacle creature condition paralyze finally underwater imposes penalty target movement attack~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'paralyzed'}
Friends~PHB~0~E~duration advantage charisma check direct one creature choice isnt hostile toward spell end creature realizes use magic influence mood becomes hostile toward creature prone violence might attack another creature might seek retribution way dms discretion depend nature interaction~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Gaseous Form~PHB~3~T~transform willing creature touch along everything wear carry misty cloud duration spell end creature drop 0 hit point incorporeal creature isnt affect form target method movement fly speed 10 foot target enter occupy space another creature target resistance nonmagical damage advantage strength dexterity constitution save throw target pass small hole narrow opening even mere crack though treats liquid though solid surface target cant fall remain hover air even condition stun otherwise condition stun form misty cloud target cant talk manipulate object object carry hold cant drop use otherwise interacted target cant attack cast spell~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Constitution', 'conditions': 'stunned'}
